owner,app,doi,brainlife_id
brainlife,app-slicer-fsl,10.25663/brainlife.app.312,5e9272ed3f18bacda81d973e
brainlife,app-cortex-mapping-images,10.25663/brainlife.app.555,6109ecd3b991116939bee534
brainlife,app-trekker-roi-tracking,10.25663/brainlife.app.550,60fecf3eb9911170e6b89722
brainlife,app-endpointMapGeneration,10.25663/brainlife.app.182,5cb64c22454d3c00353fa27f
brainlife,app-endpointMapGeneration,10.25663/brainlife.app.194,5cc9ea944b5e4502275edb99
DanNBullock,app-wma_pyTools-TractFigs,10.25663/brainlife.app.638,628ceb91d0697cf1eaed4a14
soichih,app-bids-hcppipeline,10.25663/bl.app.82,594c649629ff5f002175469b
brainlife,app-hcp-freesurfer,10.25663/bl.app.79,5aabcf10f0b5260027e24ac8
soichih,app-hcp-postfreesurfer,10.25663/bl.app.80,5aabd373f0b5260027e24acc
brainlife,app-hcp-prefreesurfer,10.25663/bl.app.78,5aaae79df0b5260027e24abe
brainlife,app-hcp-pipeline,10.25663/brainlife.app.593,6195b7a070ab03658d4c2af1
brainlife,app-hcp-pipeline,10.25663/brainlife.app.465,5ffee3dfaacf9e53e7a67093
anibalsolon,HD-BET_app,10.25663/brainlife.app.416,5f592ced0c8f9597ac65ae41
PranavMahajan25,HOI_toolbox,10.25663/brainlife.app.563,6117984ca5a04c6800fa6973
brainlife,app-intersect-tract-roi,10.25663/brainlife.app.545,60f206cfddc2dfbfa56726d1
jkilmarx,app-template-python,10.25663/brainlife.app.447,5fa48155e138ec0c3e4ea742
kitchell,app-LBspectrum_matlab,10.25663/bl.app.97,5a53b2be56e507002d1a9628
kitchell,app-LBspectrum_matlab,10.25663/bl.app.96,5a64d43c3a1b10004544482a
brainlife,app-life,10.25663/bl.app.104,5baa44b1d0be8b002776b8f7
bcmcpher,app-life-dev,10.25663/brainlife.app.491,604bbf6d38fe12172eef88b8
brainlife,app-life,10.25663/bl.app.1,58d15dece13a50849b258842
brainlife,app-fsl-flirt,10.25663/brainlife.app.458,5fd0f921678a9161d04a61cc
sunaguo,brainlife-app-test,10.25663/brainlife.app.446,5fa47f87e138ec5bfa4ea73d
guiomar,app_ctf2mne,10.25663/brainlife.app.634,628b6054d0697cf1eaeb1972
guiomar,app_fif2mne,10.25663/brainlife.app.632,628b5c89d0697cf1eaeaffad
guiomar,app-meg-filter,10.25663/brainlife.app.537,60da1330cdfdb5366b00d4f7
guiomar,app-artifact-rejection,10.25663/brainlife.app.585,616e8787fc8eb9ab81ff9105
